image1,image2,identity1,identity2,demographic1,demographic2,gender1,gender2,age1,age2,label,cosine_similarity,euclidean_distance,cosine_distance
data\processed\lfw\lfw\Alberta_Lee\Alberta_Lee_0001.jpg,data\processed\lfw\lfw\Kaoru_Hasuike\Kaoru_Hasuike_0001.jpg,Alberta_Lee,Kaoru_Hasuike,lfw,lfw,,,,,0,0.26246756,20.475752,0.73753244
data\processed\lfw\lfw\Yashwant_Sinha\Yashwant_Sinha_0002.jpg,data\processed\lfw\lfw\Yashwant_Sinha\Yashwant_Sinha_0003.jpg,Yashwant_Sinha,Yashwant_Sinha,lfw,lfw,,,,,1,0.30905148,18.980528,0.6909485
data\processed\lfw\lfw\Soon_Yi\Soon_Yi_0001.jpg,data\processed\lfw\lfw\Masamori_Tokuyama\Masamori_Tokuyama_0001.jpg,Soon_Yi,Masamori_Tokuyama,lfw,lfw,,,,,0,0.14329289,24.999126,0.8567071
data\processed\lfw\lfw\Win_Aung\Win_Aung_0003.jpg,data\processed\lfw\lfw\Joe_Strummer\Joe_Strummer_0001.jpg,Win_Aung,Joe_Strummer,lfw,lfw,,,,,0,0.02200859,23.323132,0.9779914
data\processed\lfw\lfw\James_Wolfensohn\James_Wolfensohn_0004.jpg,data\processed\lfw\lfw\Raja_Ibrahim\Raja_Ibrahim_0001.jpg,James_Wolfensohn,Raja_Ibrahim,lfw,lfw,,,,,0,0.20413235,21.101063,0.7958677
data\processed\lfw\lfw\Ali_Mohammed_Maher\Ali_Mohammed_Maher_0001.jpg,data\processed\lfw\lfw\Mitt_Romney\Mitt_Romney_0001.jpg,Ali_Mohammed_Maher,Mitt_Romney,lfw,lfw,,,,,0,0.23164022,21.91225,0.7683598
data\processed\lfw\lfw\Prince_Rainier_III\Prince_Rainier_III_0001.jpg,data\processed\lfw\lfw\Paul_Farley\Paul_Farley_0001.jpg,Prince_Rainier_III,Paul_Farley,lfw,lfw,,,,,0,0.23351106,21.802572,0.7664889
data\processed\lfw\lfw\Rob_Ramsay\Rob_Ramsay_0001.jpg,data\processed\lfw\lfw\Jake_Gyllenhaal\Jake_Gyllenhaal_0005.jpg,Rob_Ramsay,Jake_Gyllenhaal,lfw,lfw,,,,,0,0.27552128,23.670088,0.7244787
data\processed\lfw\lfw\Muhammad_Saeed_al-Sahhaf\Muhammad_Saeed_al-Sahhaf_0002.jpg,data\processed\lfw\lfw\Muhammad_Saeed_al-Sahhaf\Muhammad_Saeed_al-Sahhaf_0005.jpg,Muhammad_Saeed_al-Sahhaf,Muhammad_Saeed_al-Sahhaf,lfw,lfw,,,,,1,0.32016653,20.314913,0.6798335
data\processed\lfw\lfw\James_Schultz\James_Schultz_0001.jpg,data\processed\lfw\lfw\James_Schultz\James_Schultz_0002.jpg,James_Schultz,James_Schultz,lfw,lfw,,,,,1,0.6332641,14.239935,0.36673588
data\processed\lfw\lfw\Sarah_Weddington\Sarah_Weddington_0001.jpg,data\processed\lfw\lfw\Toshihiko_Fukui\Toshihiko_Fukui_0002.jpg,Sarah_Weddington,Toshihiko_Fukui,lfw,lfw,,,,,0,0.41033337,20.466476,0.5896666
data\processed\lfw\lfw\Miyako_Miyazaki\Miyako_Miyazaki_0001.jpg,data\processed\lfw\lfw\Miyako_Miyazaki\Miyako_Miyazaki_0002.jpg,Miyako_Miyazaki,Miyako_Miyazaki,lfw,lfw,,,,,1,0.5934425,18.075634,0.4065575
data\processed\lfw\lfw\Donna_Walker\Donna_Walker_0001.jpg,data\processed\lfw\lfw\Larry_Campbell\Larry_Campbell_0001.jpg,Donna_Walker,Larry_Campbell,lfw,lfw,,,,,0,0.03679995,24.858639,0.96320003
data\processed\lfw\lfw\Jeb_Bush\Jeb_Bush_0006.jpg,data\processed\lfw\lfw\Jeb_Bush\Jeb_Bush_0012.jpg,Jeb_Bush,Jeb_Bush,lfw,lfw,,,,,1,0.22520505,19.37,0.77479494
data\processed\lfw\lfw\Fred_Funk\Fred_Funk_0001.jpg,data\processed\lfw\lfw\Fred_Funk\Fred_Funk_0002.jpg,Fred_Funk,Fred_Funk,lfw,lfw,,,,,1,0.14642052,13.874476,0.85357946
data\processed\lfw\lfw\Jennifer_Keller\Jennifer_Keller_0002.jpg,data\processed\lfw\lfw\Jennifer_Keller\Jennifer_Keller_0004.jpg,Jennifer_Keller,Jennifer_Keller,lfw,lfw,,,,,1,0.49973005,18.100697,0.50026995
data\processed\lfw\lfw\Chan_Ho_Park\Chan_Ho_Park_0001.jpg,data\processed\lfw\lfw\Jose_Canseco_Sr\Jose_Canseco_Sr_0001.jpg,Chan_Ho_Park,Jose_Canseco_Sr,lfw,lfw,,,,,0,0.08384505,20.610636,0.916155
data\processed\lfw\lfw\Anna_Kournikova\Anna_Kournikova_0003.jpg,data\processed\lfw\lfw\Anna_Kournikova\Anna_Kournikova_0006.jpg,Anna_Kournikova,Anna_Kournikova,lfw,lfw,,,,,1,0.24331142,16.244312,0.7566886
data\processed\lfw\lfw\Michelle_Kwan\Michelle_Kwan_0002.jpg,data\processed\lfw\lfw\Michelle_Kwan\Michelle_Kwan_0006.jpg,Michelle_Kwan,Michelle_Kwan,lfw,lfw,,,,,1,0.42116728,21.307425,0.57883275
data\processed\lfw\lfw\Martha_Stewart\Martha_Stewart_0003.jpg,data\processed\lfw\lfw\Martha_Stewart\Martha_Stewart_0004.jpg,Martha_Stewart,Martha_Stewart,lfw,lfw,,,,,1,0.71992254,14.8477545,0.28007746
data\processed\lfw\lfw\Susan_Collins\Susan_Collins_0001.jpg,data\processed\lfw\lfw\Ridley_Scott\Ridley_Scott_0001.jpg,Susan_Collins,Ridley_Scott,lfw,lfw,,,,,0,0.02460672,22.514027,0.9753933
data\processed\lfw\lfw\Moon-So-ri\Moon-So-ri_0001.jpg,data\processed\lfw\lfw\Wen_Ho_Lee\Wen_Ho_Lee_0001.jpg,Moon-So-ri,Wen_Ho_Lee,lfw,lfw,,,,,0,0.15217437,20.603798,0.84782565
data\processed\lfw\lfw\Ren_Qingjin\Ren_Qingjin_0001.jpg,data\processed\lfw\lfw\John_Danforth\John_Danforth_0001.jpg,Ren_Qingjin,John_Danforth,lfw,lfw,,,,,0,0.15006685,19.70555,0.84993315
data\processed\lfw\lfw\Boris_Becker\Boris_Becker_0003.jpg,data\processed\lfw\lfw\Boris_Becker\Boris_Becker_0005.jpg,Boris_Becker,Boris_Becker,lfw,lfw,,,,,1,0.5702909,15.346943,0.42970908
data\processed\lfw\lfw\Dorthy_Moxley\Dorthy_Moxley_0001.jpg,data\processed\lfw\lfw\Emmanuel_Milingo\Emmanuel_Milingo_0001.jpg,Dorthy_Moxley,Emmanuel_Milingo,lfw,lfw,,,,,0,0.12723169,21.805552,0.8727683
data\processed\lfw\lfw\Alexandre_Vinokourov\Alexandre_Vinokourov_0001.jpg,data\processed\lfw\lfw\Kelly_Ripa\Kelly_Ripa_0001.jpg,Alexandre_Vinokourov,Kelly_Ripa,lfw,lfw,,,,,0,0.28383183,18.839685,0.71616817
data\processed\lfw\lfw\Justin_Gatlin\Justin_Gatlin_0001.jpg,data\processed\lfw\lfw\Justin_Gatlin\Justin_Gatlin_0002.jpg,Justin_Gatlin,Justin_Gatlin,lfw,lfw,,,,,1,0.4732457,16.996565,0.52675426
data\processed\lfw\lfw\Ashanti\Ashanti_0003.jpg,data\processed\lfw\lfw\Ashanti\Ashanti_0004.jpg,Ashanti,Ashanti,lfw,lfw,,,,,1,0.37152985,18.538517,0.6284702
data\processed\lfw\lfw\Woody_Allen\Woody_Allen_0001.jpg,data\processed\lfw\lfw\Woody_Allen\Woody_Allen_0002.jpg,Woody_Allen,Woody_Allen,lfw,lfw,,,,,1,0.34714842,16.069298,0.6528516
data\processed\lfw\lfw\Robert_Fico\Robert_Fico_0001.jpg,data\processed\lfw\lfw\Robert_Fico\Robert_Fico_0002.jpg,Robert_Fico,Robert_Fico,lfw,lfw,,,,,1,0.29394263,23.404234,0.70605737
data\processed\lfw\lfw\Wayne_Gretzky\Wayne_Gretzky_0003.jpg,data\processed\lfw\lfw\Wayne_Gretzky\Wayne_Gretzky_0004.jpg,Wayne_Gretzky,Wayne_Gretzky,lfw,lfw,,,,,1,0.45558366,16.972439,0.5444163
data\processed\lfw\lfw\Cate_Blanchett\Cate_Blanchett_0001.jpg,data\processed\lfw\lfw\Cate_Blanchett\Cate_Blanchett_0004.jpg,Cate_Blanchett,Cate_Blanchett,lfw,lfw,,,,,1,0.42777085,15.858997,0.57222915
data\processed\lfw\lfw\Jason_Campbell\Jason_Campbell_0001.jpg,data\processed\lfw\lfw\Melissa_Stark\Melissa_Stark_0001.jpg,Jason_Campbell,Melissa_Stark,lfw,lfw,,,,,0,0.4348607,18.725002,0.5651393
data\processed\lfw\lfw\Randy_Ferbey\Randy_Ferbey_0001.jpg,data\processed\lfw\lfw\Richard_Rodriguez\Richard_Rodriguez_0001.jpg,Randy_Ferbey,Richard_Rodriguez,lfw,lfw,,,,,0,0.103215784,21.252869,0.8967842
data\processed\lfw\lfw\Alexandra_Rozovskaya\Alexandra_Rozovskaya_0001.jpg,data\processed\lfw\lfw\Jennifer_Lopez\Jennifer_Lopez_0013.jpg,Alexandra_Rozovskaya,Jennifer_Lopez,lfw,lfw,,,,,0,0.34850544,22.148619,0.65149456
data\processed\lfw\lfw\Evelyn_Lauder\Evelyn_Lauder_0001.jpg,data\processed\lfw\lfw\Lucrecia_Orozco\Lucrecia_Orozco_0001.jpg,Evelyn_Lauder,Lucrecia_Orozco,lfw,lfw,,,,,0,0.50863355,18.0819,0.49136645
data\processed\lfw\lfw\Mark_Hamister\Mark_Hamister_0001.jpg,data\processed\lfw\lfw\Mark_Hamister\Mark_Hamister_0002.jpg,Mark_Hamister,Mark_Hamister,lfw,lfw,,,,,1,0.48065233,19.420574,0.51934767
data\processed\lfw\lfw\Marcus_Garrettson\Marcus_Garrettson_0001.jpg,data\processed\lfw\lfw\Rocco_Buttiglione\Rocco_Buttiglione_0001.jpg,Marcus_Garrettson,Rocco_Buttiglione,lfw,lfw,,,,,0,0.21688001,19.46051,0.78312
data\processed\lfw\lfw\Charlize_Theron\Charlize_Theron_0001.jpg,data\processed\lfw\lfw\Louisa_Baileche\Louisa_Baileche_0001.jpg,Charlize_Theron,Louisa_Baileche,lfw,lfw,,,,,0,0.20733261,22.856846,0.7926674
data\processed\lfw\lfw\Amelie_Mauresmo\Amelie_Mauresmo_0008.jpg,data\processed\lfw\lfw\Amelie_Mauresmo\Amelie_Mauresmo_0009.jpg,Amelie_Mauresmo,Amelie_Mauresmo,lfw,lfw,,,,,1,0.47263265,18.691416,0.52736735
data\processed\lfw\lfw\Bill_Frist\Bill_Frist_0003.jpg,data\processed\lfw\lfw\Bill_Frist\Bill_Frist_0007.jpg,Bill_Frist,Bill_Frist,lfw,lfw,,,,,1,0.50030345,14.694733,0.49969655
data\processed\lfw\lfw\Tang_Jiaxuan\Tang_Jiaxuan_0006.jpg,data\processed\lfw\lfw\Tang_Jiaxuan\Tang_Jiaxuan_0011.jpg,Tang_Jiaxuan,Tang_Jiaxuan,lfw,lfw,,,,,1,0.6014002,14.36451,0.3985998
data\processed\lfw\lfw\David_Heymann\David_Heymann_0003.jpg,data\processed\lfw\lfw\David_Heymann\David_Heymann_0005.jpg,David_Heymann,David_Heymann,lfw,lfw,,,,,1,0.8004599,11.776305,0.19954008
data\processed\lfw\lfw\Jean_Chretien\Jean_Chretien_0010.jpg,data\processed\lfw\lfw\Jean_Chretien\Jean_Chretien_0033.jpg,Jean_Chretien,Jean_Chretien,lfw,lfw,,,,,1,0.47345698,16.543287,0.526543
data\processed\lfw\lfw\Cesar_Gaviria\Cesar_Gaviria_0001.jpg,data\processed\lfw\lfw\Amelie_Mauresmo\Amelie_Mauresmo_0006.jpg,Cesar_Gaviria,Amelie_Mauresmo,lfw,lfw,,,,,0,0.41679305,18.901104,0.58320695
data\processed\lfw\lfw\Anthony_Pisciotti\Anthony_Pisciotti_0001.jpg,data\processed\lfw\lfw\Donald_Fehr\Donald_Fehr_0003.jpg,Anthony_Pisciotti,Donald_Fehr,lfw,lfw,,,,,0,0.18647403,24.67366,0.813526
data\processed\lfw\lfw\Fernando_Gonzalez\Fernando_Gonzalez_0004.jpg,data\processed\lfw\lfw\Fernando_Gonzalez\Fernando_Gonzalez_0008.jpg,Fernando_Gonzalez,Fernando_Gonzalez,lfw,lfw,,,,,1,0.3565925,19.967188,0.64340746
data\processed\lfw\lfw\Carmen_Electra\Carmen_Electra_0002.jpg,data\processed\lfw\lfw\Carmen_Electra\Carmen_Electra_0006.jpg,Carmen_Electra,Carmen_Electra,lfw,lfw,,,,,1,0.55179954,18.883062,0.44820046
data\processed\lfw\lfw\Eric_Daze\Eric_Daze_0001.jpg,data\processed\lfw\lfw\Ernest_Hollings\Ernest_Hollings_0001.jpg,Eric_Daze,Ernest_Hollings,lfw,lfw,,,,,0,0.15621106,19.962828,0.8437889
data\processed\lfw\lfw\Jake_Brace\Jake_Brace_0001.jpg,data\processed\lfw\lfw\Gerald_Barbarito\Gerald_Barbarito_0001.jpg,Jake_Brace,Gerald_Barbarito,lfw,lfw,,,,,0,0.45739293,18.175766,0.54260707
data\processed\lfw\lfw\Hee-Won_Han\Hee-Won_Han_0003.jpg,data\processed\lfw\lfw\Cindy_Taylor\Cindy_Taylor_0001.jpg,Hee-Won_Han,Cindy_Taylor,lfw,lfw,,,,,0,0.11378784,23.63652,0.88621217
data\processed\lfw\lfw\Sophia_Loren\Sophia_Loren_0004.jpg,data\processed\lfw\lfw\Sophia_Loren\Sophia_Loren_0006.jpg,Sophia_Loren,Sophia_Loren,lfw,lfw,,,,,1,0.5735015,14.778864,0.42649847
data\processed\lfw\lfw\Russell_Crowe\Russell_Crowe_0001.jpg,data\processed\lfw\lfw\Rudolf_Schuster\Rudolf_Schuster_0001.jpg,Russell_Crowe,Rudolf_Schuster,lfw,lfw,,,,,0,0.27005434,20.409376,0.72994566
data\processed\lfw\lfw\Dennis_Franchione\Dennis_Franchione_0001.jpg,data\processed\lfw\lfw\James_Smith\James_Smith_0002.jpg,Dennis_Franchione,James_Smith,lfw,lfw,,,,,0,0.20638071,20.09675,0.7936193
data\processed\lfw\lfw\Julianne_Moore\Julianne_Moore_0006.jpg,data\processed\lfw\lfw\Julianne_Moore\Julianne_Moore_0009.jpg,Julianne_Moore,Julianne_Moore,lfw,lfw,,,,,1,0.56432265,16.075676,0.43567735
data\processed\lfw\lfw\Kevin_Costner\Kevin_Costner_0003.jpg,data\processed\lfw\lfw\Kevin_Costner\Kevin_Costner_0004.jpg,Kevin_Costner,Kevin_Costner,lfw,lfw,,,,,1,0.40969977,19.353575,0.5903002
data\processed\lfw\lfw\Eli_Broad\Eli_Broad_0001.jpg,data\processed\lfw\lfw\Michael_Deutsch\Michael_Deutsch_0001.jpg,Eli_Broad,Michael_Deutsch,lfw,lfw,,,,,0,0.3326886,23.102507,0.66731143
data\processed\lfw\lfw\Gideon_Black\Gideon_Black_0001.jpg,data\processed\lfw\lfw\Herb_Dhaliwal\Herb_Dhaliwal_0001.jpg,Gideon_Black,Herb_Dhaliwal,lfw,lfw,,,,,0,0.20360138,24.87543,0.79639864
data\processed\lfw\lfw\Mark_Philippoussis\Mark_Philippoussis_0008.jpg,data\processed\lfw\lfw\Mark_Philippoussis\Mark_Philippoussis_0011.jpg,Mark_Philippoussis,Mark_Philippoussis,lfw,lfw,,,,,1,0.5961143,13.586506,0.40388572
data\processed\lfw\lfw\Paul_Kelleher\Paul_Kelleher_0001.jpg,data\processed\lfw\lfw\Maria_Conchita_Alonso\Maria_Conchita_Alonso_0001.jpg,Paul_Kelleher,Maria_Conchita_Alonso,lfw,lfw,,,,,0,0.19930324,22.018162,0.80069673
data\processed\lfw\lfw\Chris_Rock\Chris_Rock_0001.jpg,data\processed\lfw\lfw\Pete_Rose\Pete_Rose_0002.jpg,Chris_Rock,Pete_Rose,lfw,lfw,,,,,0,0.052925296,25.104565,0.9470747
data\processed\lfw\lfw\Franz_Beckenbauer\Franz_Beckenbauer_0001.jpg,data\processed\lfw\lfw\Mark_Podlesny\Mark_Podlesny_0001.jpg,Franz_Beckenbauer,Mark_Podlesny,lfw,lfw,,,,,0,0.34906453,19.634197,0.6509355
data\processed\lfw\lfw\Carlos_Menem\Carlos_Menem_0016.jpg,data\processed\lfw\lfw\Carlos_Menem\Carlos_Menem_0017.jpg,Carlos_Menem,Carlos_Menem,lfw,lfw,,,,,1,0.53825253,17.75136,0.46174747
data\processed\lfw\lfw\Pedro_Malan\Pedro_Malan_0004.jpg,data\processed\lfw\lfw\Peri_Gilpin\Peri_Gilpin_0001.jpg,Pedro_Malan,Peri_Gilpin,lfw,lfw,,,,,0,0.32369104,18.889147,0.676309
